"Order";"Symbol";"Name";"AtomicNumber";"Group";"Period";"Type";"Subtype";"State";"Valence";"AmountOfValences";"OrderGeneralValences";"OrderValenceOnElement";"SelectedValence";"RomanValence";"Type_Metal";"Type_NonMetal";"Type_Metalloide";"Type_NobleGas";"State_Solid";"State_Liquid";"State_Gas";"State_Dude";"Subtype_Halogen";"Status_oxyde";"ChemFormule_pure";"Name_Classic_Oxyde";"Name_IUPAC_Oxyde";"amount01_oxyde_Stock";"amount02_oxyde_Stock";"Name_Stock_Oxyde";"Name_Stock_Oxyde02"
41;"Cr";"Cromo";24;6;4;"Metal";"Metales de transici髇";"S髄ido";"2,3,6";3;41;3;"6";"VI";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Cr1O3";"脫xido Cr贸mico";"脫xido de Cromo (VI)";"Mono";"Tri";"Mon脫xido de TriCromo";"Mon贸xido de Tricromo"
42;"Mn";"Manganeso";25;7;4;"Metal";"Metales de transici髇";"S髄ido";"2,3,4,6,7";5;42;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Mn1O1";"脫xido Hipomanganoso";"脫xido de Manganeso (II)";"Mono";"Mono";"Mon脫xido de MonoManganeso";"Mon贸xido de Monomanganeso"
43;"Mn";"Manganeso";25;7;4;"Metal";"Metales de transici髇";"S髄ido";"2,3,4,6,7";5;43;2;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Mn2O3";"脫xido Manganoso";"脫xido de Manganeso (III)";"Di";"Tri";"Di脫xido de TriManganeso";"Di贸xido de Trimanganeso"
44;"Mn";"Manganeso";25;7;4;"Metal";"Metales de transici髇";"S髄ido";"2,3,4,6,7";5;44;3;"4";"IV";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Mn1O2";"脫xido Mang谩nico";"脫xido de Manganeso (IV)";"Mono";"Di";"Mon脫xido de DiManganeso";"Mon贸xido de Dimanganeso"
45;"Mn";"Manganeso";25;7;4;"Metal";"Metales de transici髇";"S髄ido";"2,3,4,6,7";5;45;4;"6";"VI";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Mn1O3";"脫xido Permang谩nico";"脫xido de Manganeso (VI)";"Mono";"Tri";"Mon脫xido de TriManganeso";"Mon贸xido de Trimanganeso"
46;"Mn";"Manganeso";25;7;4;"Metal";"Metales de transici髇";"S髄ido";"2,3,4,6,7";5;46;5;"7";"VII";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Mn2O7";"脫xido Supermang谩nico";"脫xido de Manganeso (VII)";"Di";"Hepta";"Di脫xido de HeptaManganeso";"Di贸xido de Heptamanganeso"
47;"Fe";"Hierro";26;8;4;"Metal";"Metales de transici髇";"S髄ido";"2,3";2;47;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Fe1O1";"脫xido Ferroso";"脫xido de Hierro (II)";"Mono";"Mono";"Mon脫xido de MonoHierro";"Mon贸xido de Monohierro"
48;"Fe";"Hierro";26;8;4;"Metal";"Metales de transici髇";"S髄ido";"2,3";2;48;2;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Fe2O3";"脫xido F茅rrico";"脫xido de Hierro (III)";"Di";"Tri";"Di脫xido de TriHierro";"Di贸xido de Trihierro"
49;"Co";"Cobalto";27;9;4;"Metal";"Metales de transici髇";"S髄ido";"2,3";2;49;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Co1O1";"脫xido Cobaltoso";"脫xido de Cobalto (II)";"Mono";"Mono";"Mon脫xido de MonoCobalto";"Mon贸xido de Monocobalto"
50;"Co";"Cobalto";27;9;4;"Metal";"Metales de transici髇";"S髄ido";"2,3";2;50;2;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Co2O3";"脫xido Cob谩ltico";"脫xido de Cobalto (III)";"Di";"Tri";"Di脫xido de TriCobalto";"Di贸xido de Tricobalto"
