"Order";"Symbol";"Name";"AtomicNumber";"Group";"Period";"Type";"Subtype";"State";"Valence";"AmountOfValences";"OrderGeneralValences";"OrderValenceOnElement";"SelectedValence";"RomanValence";"Type_Metal";"Type_NonMetal";"Type_Metalloide";"Type_NobleGas";"State_Solid";"State_Liquid";"State_Gas";"State_Dude";"Subtype_Halogen";"Status_oxyde";"ChemFormule_pure";"Name_Classic_Oxyde";"Name_IUPAC_Oxyde";"amount01_oxyde_Stock";"amount02_oxyde_Stock";"OxydeFullName_Stock"
68;"Zr";"Circonio";40;4;5;"Metal";"Metales de transición";"Sólido";"4";1;68;1;"4";"IV";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Zr1O2";"Óxido de Circonio";"Óxido de Circonio (IV)";"Mono";"Di";"MonoÓxido de DiCirconio"
69;"Nb";"Niobio";41;5;5;"Metal";"Metales de transición";"Sólido";"3,5";2;69;1;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Nb2O3";"Óxido Nioboso";"Óxido de Niobio (III)";"Di";"Tri";"DiÓxido de TriNiobio"
70;"Nb";"Niobio";41;5;5;"Metal";"Metales de transición";"Sólido";"3,5";2;70;2;"5";"V";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Nb2O5";"Óxido Niúbico";"Óxido de Niobio (V)";"Di";"Penta";"DiÓxido de PentaNiobio"
71;"Mo";"Molibdeno";42;6;5;"Metal";"Metales de transición";"Sólido";"2,3,4,5,6";5;71;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Mo1O1";"Óxido HipoMolibdoso";"Óxido de Molibdeno (II)";"Mono";"Mono";"MonoÓxido de MonoMolibdeno"
72;"Mo";"Molibdeno";42;6;5;"Metal";"Metales de transición";"Sólido";"2,3,4,5,6";5;72;2;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Mo2O3";"Óxido Molibdoso";"Óxido de Molibdeno (III)";"Di";"Tri";"DiÓxido de TriMolibdeno"
73;"Mo";"Molibdeno";42;6;5;"Metal";"Metales de transición";"Sólido";"2,3,4,5,6";5;73;3;"4";"IV";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Mo1O2";"Óxido Molibdénico";"Óxido de Molibdeno (IV)";"Mono";"Di";"MonoÓxido de DiMolibdeno"
74;"Mo";"Molibdeno";42;6;5;"Metal";"Metales de transición";"Sólido";"2,3,4,5,6";5;74;4;"5";"V";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Mo2O5";"Óxido PerMolibdénico";"Óxido de Molibdeno (V)";"Di";"Penta";"DiÓxido de PentaMolibdeno"
75;"Mo";"Molibdeno";42;6;5;"Metal";"Metales de transición";"Sólido";"2,3,4,5,6";5;75;5;"6";"VI";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Mo1O3";"Óxido SuperMolibdénico";"Óxido de Molibdeno (VI)";"Mono";"Tri";"MonoÓxido de TriMolibdeno"
76;"Tc";"Tecnecio";43;7;5;"Metal";"Metales de transición";"Sólido";"7";1;76;1;"7";"VII";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Tc2O7";"Óxido de Tecnecio";"Óxido de Tecnecio (VII)";"Di";"Hepta";"DiÓxido de HeptaTecnecio"
77;"Ru";"Rutenio";44;8;5;"Metal";"Metales de transición";"Sólido";"2,3,4,6,8";5;77;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ru1O1";"Óxido HipoRutenoso";"Óxido de Rutenio (II)";"Mono";"Mono";"MonoÓxido de MonoRutenio"
