"Order";"Symbol";"Name";"AtomicNumber";"Group";"Period";"Type";"Subtype";"State";"Valence";"AmountOfValences";"OrderGeneralValences";"OrdenOnElement";"EachValence";"Type_Metal";"Type_NonMetal";"Type_Metalloide";"Type_NobleGas";"State_Solid";"State_Liquid";"State_Gas";"State_Dude";"Subtype_Halogen";"Status_oxyde";"ChemFormule"
39;"Y";"Yttrium";39;3;5;"Metal";"Transition Metals";"Solid";"3";1;67;1;3;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Y2O3"
40;"Zr";"Zirconium";40;4;5;"Metal";"Transition Metals";"Solid";"4";1;68;1;4;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Zr1O2"
41;"Nb";"Niobium";41;5;5;"Metal";"Transition Metals";"Solid";"3,5";2;69;1;3;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Nb2O3"
41;"Nb";"Niobium";41;5;5;"Metal";"Transition Metals";"Solid";"3,5";2;70;2;5;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Nb2O5"
42;"Mo";"Molybdenum";42;6;5;"Metal";"Transition Metals";"Solid";"2,3,4,5,6";5;71;1;2;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Mo1O1"
42;"Mo";"Molybdenum";42;6;5;"Metal";"Transition Metals";"Solid";"2,3,4,5,6";5;72;2;3;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Mo2O3"
42;"Mo";"Molybdenum";42;6;5;"Metal";"Transition Metals";"Solid";"2,3,4,5,6";5;73;3;4;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Mo1O2"
42;"Mo";"Molybdenum";42;6;5;"Metal";"Transition Metals";"Solid";"2,3,4,5,6";5;74;4;5;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Mo2O5"
42;"Mo";"Molybdenum";42;6;5;"Metal";"Transition Metals";"Solid";"2,3,4,5,6";5;75;5;6;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Mo1O3"
43;"Tc";"Technetium";43;7;5;"Metal";"Transition Metals";"Solid";"7";1;76;1;7;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Tc2O7"
