Order;Symbol;Name;OxydeName_Part01_Classic;OxydeName_Part02_Classic;OxydeName_Part03_Classic;Name_Classic_Oxyde;AtomicNumber;Group;Period;Type;Subtype;State;Valence;AmountOfValences;OrderGeneralValences;OrderValenceOnElement;SelectedValence;RomanValence;OxydeName_Part01_IUPAC;Name_IUPAC_Oxyde
23;S;Azufre;Óxido ;;Sulfuroso;Óxido Sulfuroso;16;16;3;No Metal;Otros no metales;Sólido;2,4,6;3;23;2;4;IV;Óxido de ;Óxido de Azufre (IV)
24;S;Azufre;Óxido ;;Sulfúrico;Óxido Sulfúrico;16;16;3;No Metal;Otros no metales;Sólido;2,4,6;3;24;3;6;VI;Óxido de ;Óxido de Azufre (VI)
25;Cl;Cloro;Óxido ;Hipo;Cloroso;Óxido HipoCloroso;17;17;3;No Metal;Halógenos;Gas;1,3,5,7;4;25;1;1;I;Óxido de ;Óxido de Cloro (I)
26;Cl;Cloro;Óxido ;;Cloroso;Óxido Cloroso;17;17;3;No Metal;Halógenos;Gas;1,3,5,7;4;26;2;3;III;Óxido de ;Óxido de Cloro (III)
27;Cl;Cloro;Óxido ;;Clórico;Óxido Clórico;17;17;3;No Metal;Halógenos;Gas;1,3,5,7;4;27;3;5;V;Óxido de ;Óxido de Cloro (V)
28;Cl;Cloro;Óxido ;Per;Clórico;Óxido PerClórico;17;17;3;No Metal;Halógenos;Gas;1,3,5,7;4;28;4;7;VII;Óxido de ;Óxido de Cloro (VII)
29;Ar;Argón;----;----;----;----;18;18;3;Gas Noble;-;Gas;0;1;29;1;0;----;----;----
30;K;Potasio;Óxido ;;de Potasio;Óxido de Potasio;19;1;4;Metal;Alcalino;Sólido;1;1;30;1;1;I;Óxido de ;Óxido de Potasio (I)
31;Ca;Calcio;Óxido ;;de Calcio;Óxido de Calcio;20;2;4;Metal;Tierras alcalinas;Sólido;2;1;31;1;2;II;Óxido de ;Óxido de Calcio (II)
32;Sc;Escandio;Óxido ;;de Escandio;Óxido de Escandio;21;3;4;Metal;Metales de transición;Sólido;3;1;32;1;3;III;Óxido de ;Óxido de Escandio (III)
33;Ti;Titanio;Óxido ;;Titanoso;Óxido Titanoso;22;4;4;Metal;Metales de transición;Sólido;3,4;2;33;1;3;III;Óxido de ;Óxido de Titanio (III)
34;Ti;Titanio;Óxido ;;Titánico;Óxido Titánico;22;4;4;Metal;Metales de transición;Sólido;3,4;2;34;2;4;IV;Óxido de ;Óxido de Titanio (IV)
35;V;Vanadio;Óxido ;Hipo;Vanadoso;Óxido HipoVanadoso;23;5;4;Metal;Metales de transición;Sólido;2,3,4,5;4;35;1;2;II;Óxido de ;Óxido de Vanadio (II)
36;V;Vanadio;Óxido ;;Vanadoso;Óxido Vanadoso;23;5;4;Metal;Metales de transición;Sólido;2,3,4,5;4;36;2;3;III;Óxido de ;Óxido de Vanadio (III)
37;V;Vanadio;Óxido ;;Vanádico;Óxido Vanádico;23;5;4;Metal;Metales de transición;Sólido;2,3,4,5;4;37;3;4;IV;Óxido de ;Óxido de Vanadio (IV)
38;V;Vanadio;Óxido ;Per;Vanádico;Óxido PerVanádico;23;5;4;Metal;Metales de transición;Sólido;2,3,4,5;4;38;4;5;V;Óxido de ;Óxido de Vanadio (V)
39;Cr;Cromo;Óxido ;Hipo;Cromoso;Óxido HipoCromoso;24;6;4;Metal;Metales de transición;Sólido;2,3,6;3;39;1;2;II;Óxido de ;Óxido de Cromo (II)
40;Cr;Cromo;Óxido ;;Cromoso;Óxido Cromoso;24;6;4;Metal;Metales de transición;Sólido;2,3,6;3;40;2;3;III;Óxido de ;Óxido de Cromo (III)
41;Cr;Cromo;Óxido ;;Crómico;Óxido Crómico;24;6;4;Metal;Metales de transición;Sólido;2,3,6;3;41;3;6;VI;Óxido de ;Óxido de Cromo (VI)
42;Mn;Manganeso;Óxido ;Hipo;Manganoso;Óxido HipoManganoso;25;7;4;Metal;Metales de transición;Sólido;2,3,4,6,7;5;42;1;2;II;Óxido de ;Óxido de Manganeso (II)
43;Mn;Manganeso;Óxido ;;Manganoso;Óxido Manganoso;25;7;4;Metal;Metales de transición;Sólido;2,3,4,6,7;5;43;2;3;III;Óxido de ;Óxido de Manganeso (III)
44;Mn;Manganeso;Óxido ;;Mangánico;Óxido Mangánico;25;7;4;Metal;Metales de transición;Sólido;2,3,4,6,7;5;44;3;4;IV;Óxido de ;Óxido de Manganeso (IV)
45;Mn;Manganeso;Óxido ;Per;Mangánico;Óxido PerMangánico;25;7;4;Metal;Metales de transición;Sólido;2,3,4,6,7;5;45;4;6;VI;Óxido de ;Óxido de Manganeso (VI)
46;Mn;Manganeso;Óxido ;Super;Mangánico;Óxido SuperMangánico;25;7;4;Metal;Metales de transición;Sólido;2,3,4,6,7;5;46;5;7;VII;Óxido de ;Óxido de Manganeso (VII)
47;Fe;Hierro;Óxido ;;Ferroso;Óxido Ferroso;26;8;4;Metal;Metales de transición;Sólido;2,3;2;47;1;2;II;Óxido de ;Óxido de Hierro (II)
48;Fe;Hierro;Óxido ;;Férrico;Óxido Férrico;26;8;4;Metal;Metales de transición;Sólido;2,3;2;48;2;3;III;Óxido de ;Óxido de Hierro (III)
49;Co;Cobalto;Óxido ;;Cobaltoso;Óxido Cobaltoso;27;9;4;Metal;Metales de transición;Sólido;2,3;2;49;1;2;II;Óxido de ;Óxido de Cobalto (II)
50;Co;Cobalto;Óxido ;;Cobáltico;Óxido Cobáltico;27;9;4;Metal;Metales de transición;Sólido;2,3;2;50;2;3;III;Óxido de ;Óxido de Cobalto (III)
51;Ni;Níquel;Óxido ;;Niqueloso;Óxido Niqueloso;28;10;4;Metal;Metales de transición;Sólido;2,3;2;51;1;2;II;Óxido de ;Óxido de Níquel (II)
52;Ni;Níquel;Óxido ;;Niquélico;Óxido Niquélico;28;10;4;Metal;Metales de transición;Sólido;2,3;2;52;2;3;III;Óxido de ;Óxido de Níquel (III)
53;Cu;Cobre;Óxido ;;Cuproso;Óxido Cuproso;29;11;4;Metal;Metales de transición;Sólido;1,2;2;53;1;1;I;Óxido de ;Óxido de Cobre (I)
54;Cu;Cobre;Óxido ;;Cúprico;Óxido Cúprico;29;11;4;Metal;Metales de transición;Sólido;1,2;2;54;2;2;II;Óxido de ;Óxido de Cobre (II)
55;Zn;Zinc;Óxido ;;de Zinc;Óxido de Zinc;30;12;4;Metal;Metales de transición;Sólido;2;1;55;1;2;II;Óxido de ;Óxido de Zinc (II)
56;Ga;Galio;Óxido ;;de Galio;Óxido de Galio;31;13;4;Metal;Metales del Bloque p;Líquido;3;1;56;1;3;III;Óxido de ;Óxido de Galio (III)
57;Ge;Germanio;Óxido ;;de Germanio;Óxido de Germanio;32;14;4;Metaloide;-;Sólido;4;1;57;1;4;IV;Óxido de ;Óxido de Germanio (IV)
58;As;Arsénico;Óxido ;;Arsenoso;Óxido Arsenoso;33;15;4;Metaloide;-;Sólido;3,5;2;58;1;3;III;Óxido de ;Óxido de Arsénico (III)
59;As;Arsénico;Óxido ;;Arsénico;Óxido Arsénico;33;15;4;Metaloide;-;Sólido;3,5;2;59;2;5;V;Óxido de ;Óxido de Arsénico (V)
60;Se;Selenio;Óxido ;;Selenoso;Óxido Selenoso;34;16;4;No Metal;Otros no metales;Sólido;4,6;2;60;1;4;IV;Óxido de ;Óxido de Selenio (IV)
61;Se;Selenio;Óxido ;;Selénico;Óxido Selénico;34;16;4;No Metal;Otros no metales;Sólido;4,6;2;61;2;6;VI;Óxido de ;Óxido de Selenio (VI)
62;Br;Bromo;Óxido ;;Brosomo;Óxido Brosomo;35;17;4;No Metal;Halógenos;Líquido;1,5;2;62;1;1;I;Óxido de ;Óxido de Bromo (I)
